n_parcel,lat,lon,timestamp
100,-3.73415,-38.578472,2022-02-09 00:00:00
100,-3.744169,-38.56424000000001,2022-02-08 18:00:00
100,-3.758876,-38.547863,2022-02-08 12:00:00
100,-3.775611,-38.52950300000001,2022-02-08 06:00:00
100,-3.792336,-38.510349,2022-02-08 00:00:00
100,-3.807023000000001,-38.49316,2022-02-07 18:00:00
100,-3.822206,-38.476501,2022-02-07 12:00:00
100,-3.833358,-38.461365,2022-02-07 06:00:00
100,-3.852797,-38.441662,2022-02-07 00:00:00
100,-3.868771,-38.420055,2022-02-06 18:00:00
100,-3.892018,-38.396683,2022-02-06 12:00:00
100,-3.907761,-38.37685,2022-02-06 06:00:00
100,-3.933651,-38.351887,2022-02-06 00:00:00
100,-3.95896,-38.323303,2022-02-05 18:00:00
100,-3.985897,-38.296177,2022-02-05 12:00:00
100,-4.01483,-38.266457,2022-02-05 06:00:00
100,-4.043413,-38.23582800000001,2022-02-05 00:00:00
100,-4.066891,-38.206482,2022-02-04 18:00:00
100,-4.100749,-38.171253,2022-02-04 12:00:00
100,-4.128684,-38.139851,2022-02-04 06:00:00
100,-4.151796,-38.110779,2022-02-04 00:00:00
100,-4.182589,-38.074543,2022-02-03 18:00:00
100,-4.21059,-38.041801,2022-02-03 12:00:00
100,-4.238681,-38.012657,2022-02-03 06:00:00
100,-4.262452,-37.984589,2022-02-03 00:00:00
100,-4.2885339999999985,-37.953217,2022-02-02 18:00:00
100,-4.316112,-37.915077,2022-02-02 12:00:00
100,-4.350728,-37.874077,2022-02-02 06:00:00
100,-4.3698120000000005,-37.837887,2022-02-02 00:00:00
100,-4.389677,-37.814373,2022-02-01 18:00:00
100,-4.416365,-37.780918,2022-02-01 12:00:00
100,-4.4603199999999985,-37.746841,2022-02-01 06:00:00
100,-4.49639,-37.702888,2022-02-01 00:00:00
100,-4.5244,-37.671413,2022-01-31 18:00:00
100,-4.553536,-37.618309,2022-01-31 12:00:00
100,-4.581379,-37.579979,2022-01-31 06:00:00
100,-4.59755,-37.526558,2022-01-31 00:00:00
100,-4.610733,-37.505856,2022-01-30 18:00:00
100,-4.623942,-37.458691,2022-01-30 12:00:00
100,-4.652124,-37.434784,2022-01-30 06:00:00
100,-4.668606,-37.396679,2022-01-30 00:00:00
100,-4.681699,-37.396099,2022-01-29 18:00:00
100,-4.683023,-37.386543,2022-01-29 12:00:00
100,-4.6768800000000015,-37.400505,2022-01-29 06:00:00
100,-4.667888,-37.399811,2022-01-29 00:00:00
100,-4.6665730000000005,-37.406788,2022-01-28 18:00:00
100,-4.673615,-37.38908,2022-01-28 12:00:00
100,-4.6869510000000005,-37.375042,2022-01-28 06:00:00
100,-4.702271,-37.356049,2022-01-28 00:00:00
100,-4.72365,-37.327477,2022-01-27 18:00:00
100,-4.754996,-37.289528,2022-01-27 12:00:00
100,-4.79031,-37.245235,2022-01-27 06:00:00
100,-4.8288449999999985,-37.198811,2022-01-27 00:00:00
100,-4.852186,-37.159718,2022-01-26 18:00:00
100,-4.8768410000000015,-37.123798,2022-01-26 12:00:00
100,-4.893224,-37.075073,2022-01-26 06:00:00
100,-4.909224,-37.041092,2022-01-26 00:00:00
100,-4.912689,-36.995918,2022-01-25 18:00:00
100,-4.924176,-36.965103000000006,2022-01-25 12:00:00
100,-4.932633,-36.916157,2022-01-25 06:00:00
100,-4.950011,-36.886322,2022-01-25 00:00:00
100,-4.95844,-36.852348,2022-01-24 18:00:00
100,-4.981543,-36.823734,2022-01-24 12:00:00
100,-5.000761,-36.78566,2022-01-24 06:00:00
100,-5.021335,-36.759392,2022-01-24 00:00:00
100,-5.032301,-36.729492,2022-01-23 18:00:00
100,-5.0431620000000015,-36.703262,2022-01-23 12:00:00
100,-5.050074,-36.666096,2022-01-23 06:00:00
100,-5.056019999999998,-36.63335,2022-01-23 00:00:00
100,-5.049544,-36.598,2022-01-22 18:00:00
100,-5.04546,-36.565754,2022-01-22 12:00:00
100,-5.035834,-36.520931,2022-01-22 06:00:00
100,-5.029211,-36.472523,2022-01-22 00:00:00
100,-5.019876999999998,-36.425484,2022-01-21 18:00:00
100,-5.017715,-36.381138,2022-01-21 12:00:00
100,-5.030626,-36.330624,2022-01-21 06:00:00
100,-5.047212,-36.274498,2022-01-21 00:00:00
100,-5.049565,-36.233681,2022-01-20 18:00:00
100,-5.0461839999999984,-36.19854,2022-01-20 12:00:00
100,-5.046113,-36.1567,2022-01-20 06:00:00
100,-5.030926999999998,-36.092209,2022-01-20 00:00:00
100,-5.018027,-36.014629,2022-01-19 18:00:00
100,-5.013922,-35.946194,2022-01-19 12:00:00
100,-5.030922,-35.89275,2022-01-19 06:00:00
100,-5.039558,-35.845448,2022-01-19 00:00:00
100,-5.060209,-35.794205,2022-01-18 18:00:00
100,-5.09255,-35.74322100000001,2022-01-18 12:00:00
100,-5.126799,-35.69682299999999,2022-01-18 06:00:00
100,-5.139522,-35.67268400000001,2022-01-18 00:00:00
100,-5.149234,-35.656685,2022-01-17 18:00:00
100,-5.153542,-35.64629,2022-01-17 12:00:00
100,-5.157902,-35.639229,2022-01-17 06:00:00
100,-5.159821,-35.634594,2022-01-17 00:00:00
100,-5.1615449999999985,-35.631653,2022-01-16 18:00:00
100,-5.162467,-35.62907,2022-01-16 12:00:00
100,-5.163664,-35.627182,2022-01-16 06:00:00
100,-5.164377,-35.625488,2022-01-16 00:00:00
100,-5.16499,-35.624348,2022-01-15 18:00:00
100,-5.16539,-35.623272,2022-01-15 12:00:00
100,-5.165785,-35.622524,2022-01-15 06:00:00
100,-5.166018,-35.621967,2022-01-15 00:00:00
100,-5.166165,-35.62167700000001,2022-01-14 18:00:00
100,-5.166264,-35.621418,2022-01-14 12:00:00
100,-5.166355,-35.621254,2022-01-14 06:00:00
